Time_min,Temp_C
0.0166666666666667,22.86
0.05,22.88
0.1,22.85
0.15,22.87
0.183333333333333,22.87
0.7,22.87
4.16666666666667,27.53
4.21666666666667,27.61
4.25,27.76
9.26666666666667,43.24
12.6,52.31
12.65,52.38
17.1,61.07
17.15,61.17
17.1833333333333,61.2
22.2,67.29
22.3333333333333,67.4
22.45,67.5
22.5,67.57
25.7166666666667,69.85
25.8,69.89
29.2666666666667,70.39
29.3166666666667,70.39
29.35,70.4
31.45,70.78
31.5,70.76
31.5333333333333,70.78
31.5833333333333,70.78
31.6333333333333,70.79
31.6666666666667,70.8
31.7166666666667,70.8
31.75,70.8
31.8,70.82
31.8333333333333,70.82
31.8833333333333,70.82
31.9166666666667,70.85
31.9666666666667,70.85
32.0166666666667,70.85
32.05,70.85
32.1,70.85
32.1333333333333,70.86
32.1833333333333,70.86
32.2333333333333,70.85
32.2666666666667,70.88
33.0333333333333,70.85
33.0833333333333,70.85
33.1166666666667,70.85
33.1666666666667,70.85
33.2,70.85
33.25,70.82
33.3,70.82
33.3333333333333,70.81
33.3833333333333,70.82
33.4166666666667,70.81
33.4666666666667,70.79
33.5,70.78
33.55,70.78
33.6,70.77
33.6333333333333,70.75
33.6833333333333,70.74
33.7333333333333,70.74
33.7833333333333,70.74
37.75,70.69
37.7833333333333,70.69
37.8333333333333,70.67
37.8666666666667,70.69
37.9166666666667,70.69
37.9666666666667,70.69
42.9666666666667,70.42
47.9833333333333,70.28
53,70.11
58.0166666666667,70.07
63.0333333333333,70.01
68.0333333333333,69.96
73.05,69.93
78.05,69.92
83.0666666666667,70.01
88.0833333333333,69.91
93.0833333333333,69.94
98.1,69.96
98.8833333333333,70.04
98.9333333333333,70.04
98.9666666666667,70.03
99,70.05
99.05,70.06
101.4,69.64
106.416666666667,66.13
111.433333333333,61.52
116.433333333333,56.99
121.45,52.92
126.466666666667,49.29
131.466666666667,46.14
131.683333333333,46.02
131.733333333333,45.99
131.766666666667,45.97
131.816666666667,45.95
