Time_min,Temp_C
0.0333333333333333,22.79
0.0666666666666667,22.81
0.116666666666667,22.8
0.166666666666667,22.82
0.683333333333333,22.81
0.716666666666667,22.82
4.18333333333333,23.18
4.23333333333333,23.19
9.23333333333333,24.85
12.6166666666667,26.21
12.6666666666667,26.23
17.1333333333333,28.26
17.1666666666667,28.28
17.2166666666667,28.29
22.2166666666667,30.6
22.35,30.67
22.4333333333333,30.71
22.4666666666667,30.7
25.6833333333333,32.12
25.7333333333333,32.13
25.7666666666667,32.17
25.8166666666667,32.17
29.2833333333333,33.46
29.3333333333333,33.48
29.3666666666667,33.49
31.4666666666667,34.22
31.5166666666667,34.24
31.5666666666667,34.24
31.6,34.28
31.65,34.27
31.6833333333333,34.31
31.7333333333333,34.31
31.7666666666667,34.33
31.8166666666667,34.34
31.85,34.36
31.9,34.37
31.9333333333333,34.38
31.9833333333333,34.4
32.0333333333333,34.41
32.0666666666667,34.43
32.1166666666667,34.43
32.15,34.46
32.2,34.47
32.2333333333333,34.48
32.2833333333333,34.49
33.05,34.75
33.1,34.74
33.1333333333333,34.76
33.1833333333333,34.78
33.2166666666667,34.78
33.2666666666667,34.8
33.3166666666667,34.82
33.35,34.82
33.4,34.84
33.4333333333333,34.86
33.4833333333333,34.85
33.5166666666667,34.88
33.5666666666667,34.89
33.6166666666667,34.89
33.65,34.92
33.7,34.92
33.75,34.94
37.7666666666667,36.07
37.8,36.08
37.85,36.08
37.8833333333333,36.1
37.9333333333333,36.1
42.95,37.28
47.9666666666667,38.24
52.9666666666667,39.03
57.9833333333333,39.64
63,40.15
68,40.53
73.0166666666667,40.84
78.0333333333333,41.1
83.05,41.33
88.05,41.49
93.0666666666667,41.64
98.0666666666667,41.74
98.85,41.78
98.8833333333333,41.78
98.9333333333333,41.78
98.9666666666667,41.78
99.0166666666667,41.78
99.05,41.79
101.416666666667,41.8
106.433333333333,41.5
111.45,40.89
116.483333333333,40.05
121.5,39.07
126.516666666667,37.99
131.533333333333,36.89
131.7,36.86
131.733333333333,36.85
131.783333333333,36.84
131.833333333333,36.83
131.883333333333,36.82
131.916666666667,36.82
131.95,36.81
132,36.78
132.033333333333,36.77
132.083333333333,36.78
132.116666666667,36.77
132.166666666667,36.75
