Start 12:05:00

45,0.002
60,0.004
90,0.006
120,0.008
150,0.01
180,0.012
210,0.014
240,0.016
270,0.017
300,0.018
330,0.02
360,0.021
390,0.023
420,0.024
450,0.026
480,0.027
510,0.028
540,0.029
570,0.031
600,0.031
630,0.032
660,0.034
690,0.035
720,0.036
750,0.037
780,0.038
810,0.039
840,0.04
870,0.041
900,0.042
930,0.043
960,0.044
990,0.044
1020,0.046
1050,0.047
1080,0.047
1110,0.048
1140,0.049
1170,0.05
1200,0.051
1230,0.051
1260,0.052
1290,0.053
1320,0.054
1350,0.054
1380,0.055
1410,0.056
1440,0.057
1470,0.057
1500,0.058
1530,0.058
1560,0.058
1590,0.058
1620,0.058
1650,0.059
1680,0.06
1710,0.062
1740,0.062
1770,0.063
1800,0.064
1830,0.065
1860,0.065
1890,0.065
1920,0.065
1950,0.065
1980,0.066
2010,0.067
2040,0.069
2070,0.069
2100,0.07
2130,0.071
2160,0.072
2190,0.072
2220,0.072
2250,0.072
2280,0.072
