Hours,T_In,T_Out
8.58333333333333,51.9299999999997,62.3700000000007
8.66666666666667,52,49.52
8.75,53.15,50.33
8.83333333333333,52.4799999999998,61.5399999999999
8.91666666666667,51.72,51.31
9,54.91,49.09
9.08333333333333,53.49,54.2700000000006
9.16666666666667,53.04,62.41
9.25,52.56,52.13
9.33333333333333,53.7399999999998,54.6600000000008
9.41666666666667,52.94,62.21
9.5,52.44,54.67
9.58333333333333,51.8900000000001,62.1999999999994
9.66666666666667,52.13,53.89
9.75,52.68,47.99
9.83333333333333,52.9099999999998,61.2700000000009
9.91666666666667,51.97,47.98
10,52.11,49.52
10.0833333333333,52.3000000000004,53.5400000000007
10.1666666666667,52.19,63.55
10.25,52.44,54.85
10.3333333333333,52.3800000000003,52.6300000000004
10.4166666666667,52.13,62.63
10.5,52.61,53.44
10.5833333333333,53.0699999999996,59.0200000000001
10.6666666666667,51.91,55.92
10.75,52.94,46.73
10.8333333333333,52.7400000000001,51.1100000000004
10.9166666666667,52.57,63.79
11,51.94,48.76
11.0833333333333,52.1800000000002,54.5500000000003
11.1666666666667,51.6,66.19
11.25,52.69,54.43
11.3333333333333,52.34,54.4800000000006
11.4166666666667,52.35,59.93
11.5,52.06,50.24
11.5833333333333,52.55,55.4200000000008
11.6666666666667,52.09,61.43
11.75,52.72,46.24
11.8333333333333,52.93,52.2300000000003
11.9166666666667,51.88,64.29
12,53.03,49.03
12.0833333333333,53.2900000000001,52.8200000000004
12.1666666666667,52.08,64.73
12.25,51.9,50.96
12.3333333333333,53.3199999999997,52.5300000000002
12.4166666666667,52.89,62.65
12.5,51.85,53.14
12.5833333333333,51.9799999999999,65.1999999999995
12.6666666666667,52.23,46.46
12.75,53.52,54.16
12.8333333333333,51.6700000000001,54.529999999999
12.9166666666667,53.95,47.28
13,50.78,65.56
13.0833333333333,50.9700000000003,48.9800000000003
13.1666666666667,53.06,55.19
13.25,53.12,59.6
13.3333333333333,52.9399999999997,51.6399999999996
13.4166666666667,53.21,52.07
13.5,53.01,60.63
13.5833333333333,52.9699999999999,45.7500000000003
13.6666666666667,53.3,53.31
13.75,52.13,57.53
13.8333333333333,52.7899999999999,47.1200000000002
13.9166666666667,53.13,58.76
14,51.19,49.11
14.0833333333333,52.7900000000001,51.2900000000004
14.1666666666667,53.44,64.31
14.25,51.79,49.25
14.3333333333333,53.4399999999998,54.5900000000011
14.4166666666667,51.68,62.56
14.5,52.85,49.67
14.5833333333333,51.69,61.8300000000018
14.6666666666667,53.66,46.82
14.75,52.45,54.45
14.8333333333333,50.9100000000005,48.8999999999997
14.9166666666667,54.05,48.18
15,50.38,65.55
15.0833333333333,53.3899999999998,49.1000000000004
15.1666666666667,52.72,57.24
15.25,52.36,55.93
15.3333333333333,52.9200000000004,49.8000000000003
15.4166666666667,53.16,54
15.5,52.77,56.79
15.5833333333333,51.8600000000001,46.2499999999997
15.6666666666667,53.45,49.09
15.75,52.06,61.11
15.8333333333333,52.5900000000002,46.3300000000003
15.9166666666667,53.78,55.12
16,53.44,49.42
16.0833333333333,54.02,50.78
16.1666666666667,51.6600000000004,59.1199999999998
16.25,52.25,49.42
16.3333333333333,53.14,60.11
16.4166666666667,51.9400000000002,56.3600000000009
16.5,52.68,48.66
16.5833333333333,50.54,63.48
16.6666666666667,53.1800000000003,47.1600000000003
16.75,52.69,60.73
16.8333333333333,52.02,44.73
16.9166666666667,52.8400000000003,48.3000000000001
17,52.13,59.98
17.0833333333333,53.18,46.99
17.1666666666667,52.1800000000003,57.0900000000001
17.25,52.79,57.26
17.3333333333333,53.11,48.25
17.4166666666667,52.7300000000002,56.6400000000007
17.5,52,62.09
17.5833333333333,52.88,45.96
17.6666666666667,53.71,50.9700000000015
17.75,51.54,51.65
17.8333333333333,53.89,46.87
17.9166666666667,52.9799999999992,62.4100000000014
18,52.45,46.54
18.0833333333333,53.81,52.52
18.1666666666667,52.0100000000003,58.3799999999978
18.25,53.27,49.19
18.3333333333333,52.85,60.89
18.4166666666667,51.2900000000002,53.0499999999981
18.5,53.52,49.22
18.5833333333333,52.2,56.04
