Time_min,Temp_C
2.95,21.08
2.98333333333333,21.08
3.03333333333333,21.1
3.06666666666667,21.08
3.11666666666667,21.09
3.16666666666667,21.1
3.2,21.09
3.25,21.09
4.01666666666667,21.11
4.06666666666667,21.11
6.06666666666667,21.39
6.1,21.39
6.15,21.4
6.2,21.42
6.25,21.41
9.11666666666667,22.3
9.15,22.3
9.2,22.33
9.23333333333333,22.34
9.28333333333333,22.35
9.31666666666667,22.36
9.36666666666667,22.39
9.4,22.4
9.45,22.42
9.5,22.45
9.55,22.46
9.58333333333333,22.48
9.63333333333333,22.48
9.66666666666667,22.5
9.71666666666667,22.5
10.1,22.69
10.1333333333333,22.69
10.1833333333333,22.71
10.2166666666667,22.72
10.2666666666667,22.74
10.3,22.75
10.35,22.79
10.4,22.81
10.4333333333333,22.83
10.4833333333333,22.84
10.5166666666667,22.86
10.5666666666667,22.88
10.6166666666667,22.89
10.65,22.9
10.7,22.92
11.55,23.3
11.5833333333333,23.32
11.6333333333333,23.32
11.6833333333333,23.35
11.7333333333333,23.37
11.7666666666667,23.4
11.8166666666667,23.4
11.85,23.44
11.9,23.45
11.9333333333333,23.47
11.9833333333333,23.49
12.0166666666667,23.51
12.0666666666667,23.53
12.1166666666667,23.55
12.15,23.57
12.2,23.58
12.7,23.82
12.75,23.84
12.8,23.85
12.8333333333333,23.89
12.8833333333333,23.9
12.9333333333333,23.94
12.9666666666667,23.96
13.0166666666667,23.97
14.0833333333333,24.48
16.5166666666667,25.69
16.5666666666667,25.71
16.6,25.73
16.65,25.74
16.6833333333333,25.78
16.7333333333333,25.78
16.7833333333333,25.82
16.8166666666667,25.84
16.8666666666667,25.86
16.9,25.88
16.95,25.9
16.9833333333333,25.92
17.0333333333333,25.93
17.0666666666667,25.96
17.1166666666667,25.99
17.1666666666667,26.01
17.2166666666667,26.04
17.25,26.05
19.3,27.1
19.35,27.11
19.4,27.14
19.4333333333333,27.14
19.4833333333333,27.19
19.5166666666667,27.2
19.5666666666667,27.21
24.5666666666667,29.73
27.4833333333333,31.12
27.5333333333333,31.12
27.5666666666667,31.14
27.6166666666667,31.16
27.65,31.2
27.7,31.2
27.7333333333333,31.24
27.7833333333333,31.24
27.8333333333333,31.27
27.8666666666667,31.29
27.9166666666667,31.31
27.95,31.31
28,31.34
28.0333333333333,31.35
28.0833333333333,31.38
28.1333333333333,31.39
28.1666666666667,31.41
28.2166666666667,31.44
28.2666666666667,31.45
28.3,31.48
28.35,31.48
28.4,31.51
28.4333333333333,31.53
28.4666666666667,31.53
28.5166666666667,31.57
28.55,31.6
33.5666666666667,33.44
34.6833333333333,33.82
34.7333333333333,33.82
34.7666666666667,33.84
34.8166666666667,33.86
34.85,33.86
34.9,33.88
34.9333333333333,33.9
34.9833333333333,33.92
35.0333333333333,33.94
35.0666666666667,33.94
35.1166666666667,33.95
35.15,33.96
35.2,33.97
35.2333333333333,33.97
35.2833333333333,33.99
35.3166666666667,34.01
35.3666666666667,34.03
35.4,34.03
36.1333333333333,34.24
