Time_min,Temp_C
1.21666666666667,23.19
1.26666666666667,23.2
1.33333333333333,23.2
1.35,23.21
1.41666666666667,23.2
1.43333333333333,23.19
1.48333333333333,23.21
1.51666666666667,23.2
1.58333333333333,23.2
1.6,23.21
1.65,23.2
1.7,23.2
1.8,23.2
1.81666666666667,23.21
1.86666666666667,23.21
1.9,23.21
3.58333333333333,23.36
3.61666666666667,23.38
3.66666666666667,23.4
3.7,23.39
3.75,23.4
3.78333333333333,23.4
7.65,23.42
7.66666666666667,24.67
7.73333333333333,24.71
7.8,24.74
7.83333333333333,24.74
7.86666666666667,24.78
7.9,24.79
7.96666666666667,24.82
7.98333333333333,24.84
11.9,26.88
11.9666666666667,26.93
12.0166666666667,26.96
12.05,26.97
12.1,27
12.1666666666667,27.02
12.1833333333333,27.05
12.2333333333333,27.07
12.2666666666667,27.1
12.3166666666667,27.12
12.35,27.14
12.4,27.17
16.5166666666667,29.49
16.55,29.52
16.6166666666667,29.53
16.6333333333333,29.54
16.6833333333333,29.58
16.7333333333333,29.6
16.7666666666667,29.63
16.8166666666667,29.64
16.8833333333333,29.66
16.9166666666667,29.7
16.9666666666667,29.71
16.9833333333333,29.73
17.0333333333333,29.76
17.0666666666667,29.78
17.2,29.85
17.9333333333333,30.23
17.9666666666667,30.26
18.0166666666667,30.28
18.05,30.32
18.1,30.32
19.8333333333333,31.22
19.85,31.24
19.9,31.26
19.9333333333333,31.27
19.9833333333333,31.29
20.0166666666667,31.31
20.0833333333333,31.33
20.1166666666667,31.35
20.2166666666667,31.39
20.2333333333333,31.41
21.0166666666667,31.74
21.05,31.78
21.1,31.79
21.1333333333333,31.82
21.1833333333333,31.82
21.25,31.85
21.2666666666667,31.87
21.9166666666667,32.11
21.95,32.14
22,32.15
22.0333333333333,32.17
22.0833333333333,32.17
22.1166666666667,32.2
22.1666666666667,32.21
22.2166666666667,32.22
22.25,32.23
22.3,32.26
22.3333333333333,32.27
22.3833333333333,32.27
22.4166666666667,32.27
22.4666666666667,32.31
22.5166666666667,32.32
22.55,32.34
24.6,33.04
24.65,33.06
24.7166666666667,33.06
24.75,33.08
24.7833333333333,33.1
24.8166666666667,33.11
24.8666666666667,33.14
24.9,33.17
24.9666666666667,33.17
25.0166666666667,33.18
25.1,33.21
25.15,33.24
25.1833333333333,33.24
25.2333333333333,33.26
25.25,33.3
27.1,34.02
27.1333333333333,34.03
27.1833333333333,34.06
27.2833333333333,34.07
27.3333333333333,34.11
27.3666666666667,34.13
27.4,34.14
27.45,34.17
27.5,34.2
27.5166666666667,34.21
27.5666666666667,34.24
27.6,34.26
27.7,34.29
27.75,34.31
27.7833333333333,34.32
27.8166666666667,34.34
27.8666666666667,34.37
27.9,34.39
29.4666666666667,35.1
29.4833333333333,35.1
29.5333333333333,35.14
29.5833333333333,35.14
29.6166666666667,35.17
29.6666666666667,35.19
29.7333333333333,35.21
29.75,35.22
29.7833333333333,35.24
31.8833333333333,36.04
31.9333333333333,36.06
32.0333333333333,36.07
32.0666666666667,36.1
32.1,36.1
32.3666666666667,36.18
32.4,36.21
32.45,36.21
32.4833333333333,36.23
32.5333333333333,36.25
32.5666666666667,36.27
32.6333333333333,36.26
32.6833333333333,36.28
32.7,36.31
32.7666666666667,36.32
33.65,36.57
33.7166666666667,36.57
33.75,36.57
33.7666666666667,36.6
33.8166666666667,36.6
33.8833333333333,36.61
33.9,36.62
33.95,36.64
34.0166666666667,36.65
34.05,36.65
34.1166666666667,36.67
34.2833333333333,36.73
34.3333333333333,36.73
34.3666666666667,36.74
34.4166666666667,36.75
34.4666666666667,36.77
34.5,36.78
34.55,36.79
34.5833333333333,36.8
34.6333333333333,36.82
34.6666666666667,36.82
34.7333333333333,36.84
34.7833333333333,36.84
34.8166666666667,36.85
34.85,36.87
34.8833333333333,36.89
34.95,36.89
35,36.9
35.0833333333333,36.93
35.1,36.94
35.1833333333333,36.96
35.6666666666667,37.09
35.7166666666667,37.1
35.75,37.11
35.7833333333333,37.13
35.8333333333333,37.14
35.8666666666667,37.15
35.9166666666667,37.16
35.9666666666667,37.17
36.0166666666667,37.19
36.05,37.21
36.0833333333333,37.22
36.1666666666667,37.24
36.2166666666667,37.26
36.2666666666667,37.26
36.3166666666667,37.28
36.35,37.28
36.3833333333333,37.3
36.4333333333333,37.31
36.5,37.32
36.5166666666667,37.33
36.5833333333333,37.35
36.6166666666667,37.36
36.65,37.38
37.7166666666667,37.67
37.75,37.69
37.8,37.69
37.95,37.74
38.0333333333333,37.75
38.0833333333333,37.75
38.1166666666667,37.78
38.1666666666667,37.79
38.2333333333333,37.8
38.7833333333333,37.94
38.8333333333333,37.94
39.15,38.03
39.1666666666667,38.02
39.2166666666667,38.03
39.25,38.04
39.3,38.04
39.35,38.06
39.3833333333333,38.05
39.45,38.07
39.4666666666667,38.08
39.5166666666667,38.08
39.55,38.1
39.6,38.1
39.75,38.12
39.8,38.14
39.8333333333333,38.14
39.85,38.15
39.9,38.16
39.95,38.17
39.9833333333333,38.17
40.05,38.18
40.1,38.2
40.1166666666667,38.18
40.15,38.21
40.2,38.21
40.2666666666667,38.24
40.2833333333333,38.23
40.3333333333333,38.24
40.3666666666667,38.24
40.4333333333333,38.24
40.45,38.25
40.5,38.28
40.5666666666667,38.28
40.5833333333333,38.27
40.6833333333333,38.31
40.75,38.31
40.8,38.32
40.8666666666667,38.32
40.9,38.33
40.95,38.34
40.9666666666667,38.35
41.0166666666667,38.36
41.05,38.35
41.1166666666667,38.35
41.1666666666667,38.37
41.1833333333333,38.38
41.2666666666667,38.39
41.35,38.41
41.4,38.42
41.4833333333333,38.42
41.5333333333333,38.44
41.5666666666667,38.44
41.6333333333333,38.46
41.7166666666667,38.46
41.7333333333333,38.48
41.7833333333333,38.49
41.8333333333333,38.49
41.9333333333333,38.51
41.9833333333333,38.53
42,38.53
42.1666666666667,38.56
42.2333333333333,38.57
42.25,38.57
42.6833333333333,38.66
42.7333333333333,38.67
42.7666666666667,38.68
42.8333333333333,38.7
42.85,38.71
42.9333333333333,38.71
42.9833333333333,38.74
43.05,38.74
43.0833333333333,38.75
43.1166666666667,38.75
43.1833333333333,38.76
43.2166666666667,38.77
43.2666666666667,38.79
43.2833333333333,38.8
43.35,38.81
43.3666666666667,38.82
43.4166666666667,38.82
45.6166666666667,39.24
45.6333333333333,39.24
45.6833333333333,39.27
45.7166666666667,39.26
45.85,39.28
45.9333333333333,39.3
46.9666666666667,39.42
47.0333333333333,39.42
47.3333333333333,39.46
47.35,39.46
47.4,39.46
47.4333333333333,39.48
47.5,39.47
47.55,39.48
47.5666666666667,39.48
47.7,39.49
47.7333333333333,39.5
49.4666666666667,39.68
49.5,39.71
49.5333333333333,39.7
49.5833333333333,39.7
49.65,39.71
49.6666666666667,39.71
55.5333333333333,40.24
55.6,40.23
55.6166666666667,40.24
55.6833333333333,40.24
55.7,40.24
55.75,40.24
55.7833333333333,40.26
55.8333333333333,40.26
55.8833333333333,40.24
55.9166666666667,40.26
55.9666666666667,40.26
56,40.25
56.05,40.26
56.0833333333333,40.26
56.15,40.26
56.2,40.26
56.2166666666667,40.28
56.3,40.28
56.35,40.28
60.8166666666667,40.59
60.85,40.58
60.8833333333333,40.57
60.95,40.58
60.9666666666667,40.59
61.0166666666667,40.58
61.7166666666667,40.58
61.75,40.59
61.7833333333333,40.6
61.8333333333333,40.58
61.8666666666667,40.6
61.9166666666667,40.58
61.95,40.59
62,40.6
62.05,40.6
63.6666666666667,40.65
63.7333333333333,40.66
63.75,40.66
63.8,40.66
67.35,40.81
67.4,40.81
67.4333333333333,40.83
67.4833333333333,40.82
67.5333333333333,40.82
