Time_min,Temp_C
0.766666666666667,23.86
1.2,23.9
1.25,23.91
1.28333333333333,23.91
1.33333333333333,23.93
1.36666666666667,23.91
1.41666666666667,23.93
1.45,23.93
1.5,23.94
1.53333333333333,23.94
1.58333333333333,23.95
1.63333333333333,23.95
1.66666666666667,23.96
1.71666666666667,23.96
1.75,23.96
1.8,23.98
1.83333333333333,23.97
1.88333333333333,23.97
1.91666666666667,23.99
1.96666666666667,23.99
2,23.99
2.05,23.98
3.55,24.23
3.6,24.25
3.63333333333333,24.25
3.68333333333333,24.26
3.73333333333333,24.26
3.76666666666667,24.28
3.81666666666667,24.29
7.66666666666667,25.97
7.71666666666667,26
7.75,26.01
7.8,26.05
7.83333333333333,26.07
7.88333333333333,26.1
7.91666666666667,26.14
7.96666666666667,26.16
8.01666666666667,26.18
11.9,28.77
11.95,28.78
11.9833333333333,28.8
12.0333333333333,28.85
12.0833333333333,28.87
12.1166666666667,28.89
12.1666666666667,28.93
12.2,28.96
12.25,28.99
12.3,29.02
12.3333333333333,29.06
12.3833333333333,29.08
16.5,31.65
16.5333333333333,31.67
16.5833333333333,31.69
16.6166666666667,31.73
16.6666666666667,31.74
16.7,31.77
16.75,31.79
16.7833333333333,31.82
16.8333333333333,31.84
16.8666666666667,31.87
16.9166666666667,31.9
16.9666666666667,31.92
17.0166666666667,31.94
17.05,31.98
17.0833333333333,32
17.1333333333333,32.03
17.1666666666667,32.04
17.2166666666667,32.07
17.9,32.5
17.95,32.54
17.9833333333333,32.58
18.0333333333333,32.61
18.0666666666667,32.64
18.1166666666667,32.66
19.8333333333333,33.69
19.8833333333333,33.7
19.9166666666667,33.74
19.9666666666667,33.76
20,33.79
20.05,33.79
20.0833333333333,33.82
20.1333333333333,33.84
20.1666666666667,33.86
20.2166666666667,33.89
20.25,33.93
21.0333333333333,34.3
21.0666666666667,34.33
21.1166666666667,34.35
21.1666666666667,34.36
21.2,34.39
21.25,34.42
21.9333333333333,34.71
21.9666666666667,34.72
22.0166666666667,34.74
22.0666666666667,34.74
22.1,34.76
22.15,34.77
22.1833333333333,34.77
22.2333333333333,34.79
22.2666666666667,34.8
22.3166666666667,34.79
22.35,34.81
22.4,34.82
22.45,34.82
22.4833333333333,34.85
22.5333333333333,34.87
24.5833333333333,35.27
24.6333333333333,35.26
24.6666666666667,35.28
24.7166666666667,35.29
24.75,35.32
24.8,35.32
24.8333333333333,35.33
24.8833333333333,35.35
24.9166666666667,35.35
24.9666666666667,35.37
25.0166666666667,35.37
25.05,35.39
25.1,35.4
25.1333333333333,35.41
25.1833333333333,35.43
25.2333333333333,35.44
25.2666666666667,35.46
27.1166666666667,35.96
27.15,35.97
27.2,35.99
27.2333333333333,36.01
27.2833333333333,36.04
27.3166666666667,36.04
27.3666666666667,36.07
27.4166666666667,36.08
27.45,36.11
27.5,36.11
27.55,36.14
27.5833333333333,36.14
27.6333333333333,36.17
27.6666666666667,36.2
27.7166666666667,36.21
27.75,36.23
27.8,36.24
27.8333333333333,36.28
27.8833333333333,36.29
27.9166666666667,36.32
29.4666666666667,37.02
29.5,37.04
29.55,37.07
29.6,37.09
29.65,37.1
29.6833333333333,37.13
29.7333333333333,37.14
29.7666666666667,37.17
29.8166666666667,37.17
31.8666666666667,38.01
31.9166666666667,38.04
31.95,38.07
32,38.06
32.0333333333333,38.07
32.0833333333333,38.1
32.1166666666667,38.11
32.3833333333333,38.2
32.4166666666667,38.21
32.4666666666667,38.24
32.5,38.24
32.55,38.25
32.5833333333333,38.27
32.6333333333333,38.28
32.6833333333333,38.3
32.7166666666667,38.32
32.7666666666667,38.33
33.6166666666667,38.58
33.6666666666667,38.59
33.7,38.58
33.75,38.63
33.7833333333333,38.63
33.8333333333333,38.64
33.8666666666667,38.65
33.9166666666667,38.67
33.9833333333333,38.67
34.0166666666667,38.68
34.05,38.69
34.1,38.72
34.1333333333333,38.71
34.1833333333333,38.74
34.2166666666667,38.74
34.2666666666667,38.75
34.3166666666667,38.77
34.35,38.79
34.4,38.78
34.4333333333333,38.82
34.4833333333333,38.82
34.5166666666667,38.84
34.5666666666667,38.84
34.6,38.85
34.65,38.86
34.6833333333333,38.87
34.7333333333333,38.89
34.7833333333333,38.9
34.8166666666667,38.92
34.8666666666667,38.92
34.9,38.94
34.95,38.96
34.9833333333333,38.96
35.0333333333333,38.99
35.0833333333333,38.99
35.1166666666667,39
35.1666666666667,39.01
35.6833333333333,39.16
35.7166666666667,39.17
35.7666666666667,39.21
35.8,39.21
35.85,39.22
35.8833333333333,39.24
35.9333333333333,39.25
35.9666666666667,39.28
36.0166666666667,39.28
36.0666666666667,39.28
36.1,39.31
36.15,39.32
36.2,39.32
36.2333333333333,39.36
36.2833333333333,39.36
36.3166666666667,39.36
36.3666666666667,39.39
36.4,39.4
36.45,39.42
36.5,39.44
36.5333333333333,39.44
36.5833333333333,39.46
36.6166666666667,39.49
36.6666666666667,39.48
37.65,39.78
37.6833333333333,39.82
37.7333333333333,39.82
37.7833333333333,39.84
37.8166666666667,39.85
37.8666666666667,39.87
37.9,39.87
37.95,39.88
37.9833333333333,39.9
38.0333333333333,39.92
38.0666666666667,39.91
38.1166666666667,39.94
38.1666666666667,39.94
38.2,39.95
38.25,39.97
38.7666666666667,40.1
38.8,40.12
38.85,40.14
38.8833333333333,40.15
39.15,40.21
39.1833333333333,40.24
39.2333333333333,40.24
39.2666666666667,40.25
39.3166666666667,40.24
39.35,40.27
39.4,40.27
39.45,40.28
39.5,40.29
39.5333333333333,40.31
